Age,Country,Country (group),Country Code,Gender,Measure1,OECD Member: T|F,Ref Area,Reference area,Sex,UPPER(Gender),Year,Year Int,Age | Years,Effective labour market exit age,Obs Value
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1980,1980,14.3,,14.3
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1979,1979,14.2,,14.2
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2008,2008,18.0,,18.0
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2007,2007,17.9,,17.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2006,2006,17.7,,17.7
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2005,2005,17.4,,17.4
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2018,2018,19.2,,19.2
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2017,2017,19.2,,19.2
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2016,2016,19.1,,19.1
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2015,2015,18.9,,18.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2014,2014,18.9,,18.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2013,2013,18.8,,18.8
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2012,2012,18.5,,18.5
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2011,2011,18.5,,18.5
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2010,2010,18.3,,18.3
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2009,2009,18.2,,18.2
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1978,1978,14.2,,14.2
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1977,1977,14.2,,14.2
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1976,1976,13.9,,13.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2021,2021,19.6,,19.6
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2020,2020,18.9,,18.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1984,1984,14.9,,14.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1983,1983,14.7,,14.7
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1982,1982,14.6,,14.6
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1981,1981,14.4,,14.4
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1995,1995,16.0,,16.0
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1994,1994,16.1,,16.1
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1993,1993,15.6,,15.6
