Age,Column (decade year) 2,Country,Country (max female),Country Code,Country highlight,Country: OECD Avg ,Country: other than OECD Avg,Decades only : T|F,Effective labour market exit age (bins),Every 5 years T|F,Gender,Gender filter,Measure1,OECD Average highlight,OECD Average highlight (female),OECD Average highlight (male),OECD Member: T|F,Ref Area,Reference area,Region (group),Row (decade year) 2,Sex,UPPER Country,UPPER(Gender),Year,Year (2 figures),Year (each 5 years),Year Int,Age | Years,Country name value,Effective labour market exit age,Effective labour market exit age (female),Effective labour market exit age (male),Effective labour market exit age (tooltip),Exit age - Female outliers max,Obs Value
Not applicable,1,Australia,Australia,AUS,False,,Australia,True,63,True,Female,True,Effective labour market exit age,False,False,False,OECD member,AUS,Australia,Oceania,1,Female,AUSTRALIA,FEMALE,01-01-1972,'72,1972,1972,63.2,,63.2,63.2,,63.2,,63.2
Not applicable,1,Belgium,Belgium,BEL,False,,Belgium,True,61,True,Female,True,Effective labour market exit age,False,False,False,OECD member,BEL,Belgium,Europe & Middle East,1,Female,BELGIUM,FEMALE,01-01-1972,'72,1972,1972,61.2,,61.2,61.2,,61.2,,61.2
Not applicable,1,Canada,Canada,CAN,False,,Canada,True,65,True,Female,True,Effective labour market exit age,False,False,False,OECD member,CAN,Canada,N. America,1,Female,CANADA,FEMALE,01-01-1972,'72,1972,1972,65.1,,65.1,65.1,,65.1,,65.1
Not applicable,1,Switzerland,Switzerland,CHE,False,,Switzerland,True,68,True,Female,True,Effective labour market exit age,False,False,False,OECD member,CHE,Switzerland,Europe & Middle East,1,Female,SWITZERLAND,FEMALE,01-01-1972,'72,1972,1972,68.1,,68.1,68.1,,68.1,,68.1
Not applicable,1,Chile,Chile,CHL,False,,Chile,True,62,True,Female,True,Effective labour market exit age,False,False,False,OECD member,CHL,Chile,Latin America,1,Female,CHILE,FEMALE,01-01-1972,'72,1972,1972,62.8,,62.8,62.8,,62.8,,62.8
Not applicable,1,Czechia,Czechia,CZE,False,,Czechia,True,59,True,Female,True,Effective labour market exit age,False,False,False,OECD member,CZE,Czechia,Europe & Middle East,1,Female,CZECHIA,FEMALE,01-01-1972,'72,1972,1972,59.6,,59.6,59.6,,59.6,,59.6
Not applicable,1,Denmark,Denmark,DNK,False,,Denmark,True,64,True,Female,True,Effective labour market exit age,False,False,False,OECD member,DNK,Denmark,Europe & Middle East,1,Female,DENMARK,FEMALE,01-01-1972,'72,1972,1972,64.2,,64.2,64.2,,64.2,,64.2
Not applicable,1,Spain,Spain,ESP,False,,Spain,True,71,True,Female,True,Effective labour market exit age,False,False,False,OECD member,ESP,Spain,Europe & Middle East,1,Female,SPAIN,FEMALE,01-01-1972,'72,1972,1972,71.2,,71.2,71.2,,71.2,,71.2
Not applicable,1,Estonia,Estonia,EST,False,,Estonia,True,60,True,Female,True,Effective labour market exit age,False,False,False,OECD member,EST,Estonia,Europe & Middle East,1,Female,ESTONIA,FEMALE,01-01-1972,'72,1972,1972,60.9,,60.9,60.9,,60.9,,60.9
Not applicable,1,Finland,Finland,FIN,False,,Finland,True,60,True,Female,True,Effective labour market exit age,False,False,False,OECD member,FIN,Finland,Europe & Middle East,1,Female,FINLAND,FEMALE,01-01-1972,'72,1972,1972,60.4,,60.4,60.4,,60.4,,60.4
Not applicable,1,France,France,FRA,False,,France,True,65,True,Female,True,Effective labour market exit age,False,False,False,OECD member,FRA,France,Europe & Middle East,1,Female,FRANCE,FEMALE,01-01-1972,'72,1972,1972,65.1,,65.1,65.1,,65.1,,65.1
Not applicable,1,United Kingdom,United Kingdom,GBR,False,,United Kingdom,True,64,True,Female,True,Effective labour market exit age,False,False,False,OECD member,GBR,United Kingdom,Europe & Middle East,1,Female,UNITED KINGDOM,FEMALE,01-01-1972,'72,1972,1972,64.0,,64.0,64.0,,64.0,,64.0
Not applicable,1,Greece,Greece,GRC,False,,Greece,True,61,True,Female,True,Effective labour market exit age,False,False,False,OECD member,GRC,Greece,Europe & Middle East,1,Female,GREECE,FEMALE,01-01-1972,'72,1972,1972,61.7,,61.7,61.7,,61.7,,61.7
Not applicable,1,Hungary,Hungary,HUN,False,,Hungary,True,63,True,Female,True,Effective labour market exit age,False,False,False,OECD member,HUN,Hungary,Europe & Middle East,1,Female,HUNGARY,FEMALE,01-01-1972,'72,1972,1972,63.8,,63.8,63.8,,63.8,,63.8
Not applicable,1,Ireland,Ireland,IRL,False,,Ireland,True,71,True,Female,True,Effective labour market exit age,False,False,False,OECD member,IRL,Ireland,Europe & Middle East,1,Female,IRELAND,FEMALE,01-01-1972,'72,1972,1972,71.6,,71.6,71.6,,71.6,,71.6
Not applicable,1,Iceland,Iceland,ISL,False,,Iceland,True,69,True,Female,True,Effective labour market exit age,False,False,False,OECD member,ISL,Iceland,Europe & Middle East,1,Female,ICELAND,FEMALE,01-01-1972,'72,1972,1972,69.4,,69.4,69.4,,69.4,,69.4
Not applicable,1,Italy,Italy,ITA,False,,Italy,True,59,True,Female,True,Effective labour market exit age,False,False,False,OECD member,ITA,Italy,Europe & Middle East,1,Female,ITALY,FEMALE,01-01-1972,'72,1972,1972,59.6,,59.6,59.6,,59.6,,59.6
